Date, Day, Weight(Day), Weight(Night)
18-Oct-2024, 1, 96.3, 96.3
19-Oct-2024, 2, 96.3, 96.3
20-Cot-2024, 3, 96.3, 96.4
21-Oct-2024, 4, 96.3, 96.3
22-Oct-2024, 5, 96.3, 96.4
23-Oct-2024, 6, 96.3, 96.3
24-Oct-2024, 7, 96.5, 96.6
25-Oct-2024, 8, 96.5, 96.6
26-Oct-2024, 9, 96.6, 96.6
27-Oct-2024,10, 96.6, 96.6
28-Oct-2024,11, 96.6, 96.7
29-Oct-2024,12, 96.7, 96.7
30-Oct-2024,13, 96.6, 96.7
31-Oct-2024,14, 96.7, 96.7
01-Nov-2024,15, 96.7, 96.7
02-Nov-2024,16, 96.7, 96.7
03-Nov-2024,17, 96.7, 96.8
04-Nov-2024,18, 96.8, 96.8
05-Nov-2024,19, 96.8, 96.8
06-Nov-2024,20, 96.8, 96.8
07-Nov-2024,21, 96.8, 96.8
08-Nov-2024,22, 96.8, 96.8
09-Nov-2024,23, 96.8, 96.8
10-Nov-2024,24, 96.9, 96.9
11-Nov-2024,25, 96.8, 96.8
12-Nov-2024,26, 96.7, 96.8
13-Nov-2024,27, 96.5, 96.6
14-Nov-2024,28, 96.5, 96.5
15-Nov-2024,29, 96.4, 96.5
16-Nov-2024,30, 96.4, 96.4
17-Nov-2024,31, 96.3, 96.4
18-Nov-2024,32, 96.3, 96.3